level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
head,fiedler_value,injected-control,0,11,39.0,0.005732718389481306,0.00608372688293457,0.007902403362095356,0.7254398465156555,33.0,6.0,1.429926123819314e-05,4.081365477759391e-05,0.0001999600079984003,0.00599880023995201,0.0034126508031726986
head,fiedler_value,injected-control,0,12,39.0,-0.0031726795714348555,-0.0010772347450256348,0.024033742025494576,-0.1320093870162964,15.0,24.0,0.19959086691960698,0.05434839427471161,0.4933013397320536,1.0,0.6882797353572764
head,fiedler_value,injected-control,0,13,39.0,-0.005353673826903105,-0.0031800270080566406,0.011871794238686562,-0.45095741748809814,11.0,28.0,0.009475304279476404,0.005695509258657694,0.0061987602479504095,0.7438512297540492,0.030226335685243903
head,fiedler_value,injected-control,0,14,39.0,-0.022076329216361046,-0.004496872425079346,0.045152075588703156,-0.4889327585697174,12.0,27.0,0.023702702470473014,5.9142636018805206e-05,0.0001999600079984003,0.495500899820036,0.0034126508031726986
head,fiedler_value,injected-control,0,15,39.0,-0.009078474715352058,-0.0011721253395080566,0.027743346989154816,-0.32723069190979004,17.0,22.0,0.5223973804968411,0.10449586063623428,0.010797840431913617,0.9998000399920016,0.04494710813934774
head,fiedler_value,injected-control,0,16,39.0,0.002600365784019232,0.0003236532211303711,0.008464733138680458,0.30719998478889465,24.0,15.0,0.19959086691960698,0.0640091523528099,0.05378924215156969,1.0,0.16295912415150107
head,fiedler_value,injected-control,0,17,39.0,0.001651156460866332,0.0013383179903030396,0.006346032023429871,0.2601872384548187,27.0,12.0,0.023702702470473014,0.0015496526611968875,0.10757848430313938,1.0,0.25618690215445283
head,fiedler_value,injected-control,0,18,39.0,0.0032068078871816397,0.0018571019172668457,0.015324421226978302,0.20926126837730408,26.0,13.0,0.05325191409792752,0.010643251240253448,0.20395920815836832,1.0,0.3970612721562151
head,fiedler_value,injected-control,0,19,39.0,-0.008734744042158127,-0.007082045078277588,0.010071240365505219,-0.8672957420349121,6.0,33.0,1.429926123819314e-05,2.9125658329576254e-07,0.0001999600079984003,0.0001999600079984003,0.0034126508031726986
head,fiedler_value,injected-control,0,20,39.0,-0.006130089517682791,-0.0009753704071044922,0.015791745856404305,-0.3881831467151642,11.0,28.0,0.009475304279476404,0.0016351218800991774,0.0011997600479904018,0.9816036792641472,0.009907695880178802
head,fiedler_value,injected-control,0,21,39.0,0.0003626102115958929,-0.0007417201995849609,0.005993709899485111,0.06049845740199089,19.0,20.0,1.0,0.6536581516265869,0.7024595080983803,1.0,0.8430126621045815
head,fiedler_value,injected-control,0,22,39.0,0.0014808085979893804,0.0006375908851623535,0.007630589883774519,0.19406214356422424,23.0,16.0,0.3367836351899315,0.35016584396362305,0.2555488902219556,1.0,0.44808572532068924
head,fiedler_value,injected-control,0,23,39.0,0.00031950915581546724,0.0010416507720947266,0.007916460745036602,0.04036010056734085,21.0,18.0,0.7492586247608418,0.5205608010292053,0.7976404719056189,1.0,0.9059793362835193
head,fiedler_value,injected-control,0,24,39.0,0.0025061597116291523,0.0017859935760498047,0.011298507452011108,0.22181333601474762,28.0,11.0,0.009475304279476404,0.023927083238959312,0.1785642871425715,1.0,0.3625772869141587
head,fiedler_value,injected-control,0,25,39.0,0.0011063363635912538,0.0010660290718078613,0.013019363395869732,0.08497622609138489,20.0,19.0,1.0,0.3721330165863037,0.6010797840431914,1.0,0.7728499412899376
head,fiedler_value,injected-control,0,26,39.0,-0.0006792782223783433,0.0003994107246398926,0.005951628554612398,-0.11413317173719406,22.0,17.0,0.5223973804968411,0.7561766505241394,0.48310337932413516,1.0,0.6776683019560471
head,fiedler_value,injected-control,0,27,39.0,-0.005628093611449003,-0.00025856494903564453,0.017770107835531235,-0.31671690940856934,18.0,21.0,0.7492586247608418,0.28921324014663696,0.03199360127974405,1.0,0.10636833672226594
head,fiedler_value,injected-control,0,28,39.0,-0.0004484775708988309,0.00011199712753295898,0.006420336198061705,-0.06985266506671906,20.0,19.0,1.0,0.9724878668785095,0.6740651869626075,1.0,0.8253739728244827
head,fiedler_value,injected-control,0,29,39.0,-0.0007803394109942019,-0.0015812516212463379,0.00821751356124878,-0.0949605256319046,15.0,24.0,0.19959086691960698,0.5853923559188843,0.5578884223155369,1.0,0.7354610710510959
head,fiedler_value,injected-control,0,30,39.0,-0.0005424985429272056,-0.0007698535919189453,0.005619996692985296,-0.09653005003929138,13.0,26.0,0.05325191409792752,0.19910714030265808,0.5558888222355529,1.0,0.7354610710510959
head,fiedler_value,injected-control,0,31,39.0,0.0021852576173841953,0.001653909683227539,0.010513520799577236,0.20785212516784668,26.0,13.0,0.05325191409792752,0.04138444364070892,0.2011597680463907,1.0,0.3946122652864063
